city_name,country,date,latitude,longitude,temp,humidity,cloudiness,wind_speed
Ribeira Grande,PT,1612267405,38.5167,-28.7,57.2,67,20,23.02
Albany,US,1612267206,42.6001,-73.9662,26.01,86,100,1.01
Lüleburgaz,TR,1612267405,41.4039,27.3592,55.4,82,75,6.91
Kiryat Gat,IL,1612267406,31.61,34.7642,78.01,41,0,3.0
Pevek,RU,1612267406,69.7008,170.3133,6.49,92,100,7.25
Cabo San Lucas,MX,1612267167,22.8909,-109.9124,57.99,67,48,1.01
Mataura,NZ,1612267406,-46.1927,168.8643,55.47,85,74,1.07
Pisco,PE,1612267406,-13.7,-76.2167,69.8,83,0,3.44
Bredasdorp,ZA,1612267406,-34.5322,20.0403,82.4,36,0,11.5
Dabakala,CI,1612267407,8.3667,-4.4333,95.92,15,0,5.41
Tarko-Sale,RU,1612267407,64.9225,77.785,6.21,95,95,13.04
Djibouti,DJ,1612267407,11.5,42.5,80.6,50,1,17.34
Tevaitoa,PF,1612267407,-16.7833,-151.5,81.01,76,2,14.9
Chokurdakh,RU,1612267407,70.6333,147.9167,4.06,93,100,13.98
Sesheke,ZM,1612267408,-17.4759,24.2968,83.12,62,81,9.22
Harper,LR,1612267408,4.375,-7.7169,83.43,75,32,7.4
Almeria,ES,1612267408,37.1667,-2.3333,72.0,67,0,8.05
Øksfjord,NO,1612267408,70.2396,22.3479,26.6,80,40,2.3
Iskateley,RU,1612267408,67.6803,53.1512,7.3,94,100,18.57
Rikitea,PF,1612267408,-23.1203,-134.9692,77.67,76,80,13.65
Geraldton,AU,1612267408,-28.7667,114.6,80.6,61,39,18.41
Alofi,NU,1612267409,-19.0595,-169.9187,77.0,94,100,5.75
Nikolskoye,RU,1612267409,59.7035,30.7861,26.6,86,75,6.71
Leningradskiy,RU,1612267409,69.3833,178.4167,2.41,88,100,30.0
Ambunti,PG,1612267409,-4.2365,142.8448,74.8,98,98,1.07
Tandil,AR,1612267205,-37.3217,-59.1332,69.01,70,57,3.0
New Norfolk,AU,1612267409,-42.7826,147.0587,57.99,66,88,1.7
Komatipoort,ZA,1612267399,-25.4332,31.9548,69.01,82,100,4.61
Thompson,CA,1612267410,55.7435,-97.8558,14.0,85,90,5.75
Ushuaia,AR,1612267204,-54.8,-68.3,51.8,71,75,24.16
Bollnäs,SE,1612267410,61.3482,16.3946,18.0,76,76,1.99
San Patricio,US,1612267410,28.017,-97.5169,41.0,87,1,4.61
Atar,MR,1612267410,20.5169,-13.0499,88.32,11,0,17.83
Kudahuvadhoo,MV,1612267410,2.6708,72.8944,82.09,75,89,11.5
Sechura,PE,1612267333,-5.5569,-80.8222,72.43,76,95,8.59
Esperance,AU,1612267227,-33.8667,121.9,78.8,36,100,4.61
Klaksvík,FO,1612267411,62.2266,-6.589,33.8,86,20,3.44
Butaritari,KI,1612267411,3.0707,172.7902,81.63,83,9,19.06
Pochutla,MX,1612267411,15.7432,-96.4661,70.0,80,0,4.0
Saint-Philippe,RE,1612267411,-21.3585,55.7679,86.0,70,90,18.41
Bengkulu,ID,1612267411,-3.8004,102.2655,80.26,84,97,4.54
Narganá,PA,1612267411,9.4428,-78.5906,78.8,85,79,12.95
Ilulissat,GL,1612267412,69.2167,-51.1,-0.4,85,90,18.41
Padang,ID,1612267253,-0.9492,100.3543,80.6,78,40,3.44
Bluff,NZ,1612267412,-46.6,168.3333,59.34,88,100,2.19
Kapaa,US,1612267412,22.0752,-159.319,69.8,94,90,6.91
Orichi,RU,1612267412,58.4036,49.0572,14.31,97,99,4.7
Saldanha,ZA,1612267412,-33.0117,17.9442,89.6,25,0,9.22
Arraial do Cabo,BR,1612267412,-22.9661,-42.0278,84.2,58,75,12.66
Ust-Maya,RU,1612267413,60.4167,134.5333,-41.44,80,100,0.13
Villa Carlos Paz,AR,1612267413,-31.4241,-64.4978,61.0,96,100,4.0
Vaini,TO,1612267443,-21.2,-175.2,78.8,94,90,18.41
Atuona,PF,1612267443,-9.8,-139.0333,77.77,79,12,15.95
Hilo,US,1612267218,19.7297,-155.09,68.0,77,90,3.44
Dikson,RU,1612267443,73.5069,80.5464,-15.88,80,100,17.05
Amapá,BR,1612267444,1.0,-52.0,75.51,92,92,3.67
Tuatapere,NZ,1612267444,-46.1333,167.6833,59.34,88,99,3.6
Puerto Ayora,EC,1612267444,-0.7393,-90.3518,75.76,88,49,7.14
Tasiilaq,GL,1612267444,65.6145,-37.6368,17.6,86,90,1.14
Kaitangata,NZ,1612267444,-46.2817,169.8464,56.91,87,50,2.51
Victor Harbor,AU,1612267444,-35.5667,138.6167,62.01,77,2,3.0
Mahébourg,MU,1612267445,-20.4081,57.7,87.8,62,75,14.97
Nouadhibou,MR,1612267445,20.931,-17.0347,69.8,56,0,10.36
Lebu,CL,1612267445,-37.6167,-73.65,58.1,82,7,14.03
Saint Paul Harbor,US,1612267445,57.79,-152.4072,28.4,50,90,13.8
Cape Town,ZA,1612267253,-33.9258,18.4232,87.8,29,0,5.75
Zyryanovsk,KZ,1612267445,49.7386,84.2719,19.0,96,100,0.29
Ancud,CL,1612267446,-41.8697,-73.8203,57.99,82,0,10.36
Punta Arenas,CL,1612267344,-53.15,-70.9167,55.4,71,75,16.11
Madimba,TZ,1612267446,-10.4,40.3333,85.42,64,90,6.91
Álamos,MX,1612267446,27.0167,-108.9333,63.84,36,99,1.39
Maitum,PH,1612267446,6.0392,124.4986,79.29,79,47,2.06
Avarua,CK,1612267446,-21.2078,-159.775,77.0,94,75,13.8
Hobart,AU,1612267199,-42.8794,147.3294,57.99,67,75,11.5
Bāfq,IR,1612267447,31.6128,55.4107,62.74,25,0,2.01
Rabat,MA,1612267447,33.9911,-6.8401,64.4,77,0,5.75
Sola,VU,1612267447,-13.8833,167.55,82.26,81,99,32.84
Fortuna,US,1612267447,40.5982,-124.1573,48.0,100,90,4.9
Abhā,SA,1612267447,18.2164,42.5053,77.0,40,0,13.8
Busselton,AU,1612267273,-33.65,115.3333,78.01,64,0,4.0
Torbay,CA,1612267447,47.6666,-52.7314,26.01,80,90,9.22
Port Elizabeth,ZA,1612267448,-33.918,25.5701,75.2,57,0,23.02
Santa Rosa,PH,1612267448,14.3122,121.1114,80.6,65,20,5.75
Upernavik,GL,1612267448,72.7868,-56.1549,-8.0,88,100,10.38
Norman Wells,CA,1612267448,65.282,-126.8329,-18.4,76,75,14.97
Hamilton,US,1612267415,39.1834,-84.5333,21.2,68,1,5.75
Canhandugan,PH,1612267448,11.135,124.7797,73.47,92,98,3.96
Roald,NO,1612267448,62.5833,6.1333,30.99,80,20,6.91
Castro,BR,1612267449,-24.7911,-50.0119,71.89,82,5,3.29
Troitsko-Pechorsk,RU,1612267449,62.7084,56.1964,17.29,95,100,8.61
Sri Aman,MY,1612267449,1.2376,111.4621,80.6,89,93,5.75
Hithadhoo,MV,1612267449,-0.6,73.0833,83.46,66,74,5.23
Karratha,AU,1612267449,-20.7377,116.8463,81.57,83,100,16.62
Grand Gaube,MU,1612267450,-20.0064,57.6608,84.99,70,8,8.99
Vung Tau,VN,1612267450,10.346,107.0843,76.35,78,33,21.3
Rafrāf,TN,1612267450,37.1904,10.1837,64.4,55,0,18.41
Qaanaaq,GL,1612267450,77.484,-69.3632,-3.06,79,100,5.17
Husavik,IS,1612267450,66.0449,-17.3389,15.8,67,0,5.75
Port Alfred,ZA,1612267450,-33.5906,26.891,75.99,71,7,11.99
Mossamedes,AO,1612267451,-15.1961,12.1522,78.75,61,18,11.34
Jamestown,US,1612267451,42.097,-79.2353,21.0,93,90,10.36
Brae,GB,1612267481,60.3964,-1.353,39.2,70,20,13.8
Hong Kong,HK,1612267480,22.2855,114.1577,69.01,81,1,1.01
Pyinmana,MM,1612267481,19.7333,96.2167,73.38,29,0,3.85
Gillette,US,1612267481,44.2911,-105.5022,37.99,44,1,6.91
Hermanus,ZA,1612267481,-34.4187,19.2345,89.01,37,0,8.01
Lorengau,PG,1612267482,-2.0226,147.2712,82.8,78,97,17.72
Ende,ID,1612267386,-8.8432,121.6623,80.6,79,82,2.48
Den Helder,NL,1612267218,52.9599,4.7593,35.01,93,90,13.8
Yellowknife,CA,1612267283,62.456,-114.3525,-11.0,70,90,13.8
Richards Bay,ZA,1612267482,-28.783,32.0377,75.15,63,99,10.07
Mar del Plata,AR,1612267241,-38.0023,-57.5575,72.0,82,40,9.22
